country,child_mort,exports,health,imports,inflation,life_expec,total_fer,gdpp
Afghanistan,90.2,10.0,7.58,44.9,9.44,56.2,5.82,6.317164686747284
Albania,16.6,28.0,6.55,48.6,4.49,76.3,1.65,8.316544717929398
Algeria,27.3,38.4,4.17,31.4,16.1,76.5,2.89,8.403128235128264
Angola,119.0,62.3,2.85,42.9,22.4,60.1,6.16,8.169336395928386
Antigua and Barbuda,10.3,45.5,6.03,58.9,1.44,76.8,2.13,9.409273194575334
Argentina,14.5,18.9,8.1,16.0,20.9,75.8,2.37,9.239996256883693
Armenia,18.1,20.8,4.4,45.3,7.77,73.3,1.69,8.0774471493312
Australia,4.8,19.8,8.73,20.9,1.16,82.0,1.93,10.857093336791094
Austria,4.3,51.3,11.0,47.8,0.873,80.5,1.44,10.75579427616868
Azerbaijan,39.2,54.3,5.88,20.7,13.8,69.1,1.92,8.67265729404031
Bahamas,13.8,35.0,7.89,43.7,-0.393,73.8,1.86,10.239995502805316
Bahrain,8.6,69.5,4.97,50.9,7.44,76.0,2.16,9.937937287265354
Bangladesh,49.4,16.0,3.52,21.8,7.14,70.4,2.33,6.63200177739563
Barbados,14.2,39.5,7.97,48.7,0.321,76.7,1.78,9.680406499268875
Belarus,5.5,51.4,5.61,64.5,15.1,70.4,1.49,8.704668113450987
Belgium,4.5,76.4,10.7,74.7,1.88,80.0,1.86,10.70101727068921
Belize,18.8,58.2,5.2,57.5,1.14,71.4,2.71,8.375860015299594
Benin,111.0,23.8,4.1,37.2,0.885,61.8,5.36,6.63200177739563
Bhutan,42.7,42.5,5.2,70.7,5.99,72.1,2.38,7.687538766201629
Bolivia,46.6,41.2,4.84,34.3,8.78,71.6,3.2,7.591357046698551
Bosnia and Herzegovina,6.9,29.7,11.1,51.3,1.4,76.8,1.31,8.436200032206706
Botswana,52.5,43.6,8.3,51.3,8.92,57.1,2.88,8.756367559802975
Brazil,19.8,10.7,9.01,11.8,8.41,74.2,1.8,9.32375833901174
Brunei,10.5,67.4,2.84,28.0,16.7,77.1,1.84,10.471666571132038
Bulgaria,10.8,50.2,6.87,53.0,1.11,73.9,1.57,8.830689198760998
Burkina Faso,116.0,19.2,6.74,29.6,6.81,57.9,5.87,6.3561076606958915
Burundi,93.6,8.92,11.6,39.2,12.3,57.7,6.26,5.44673737166631
Cambodia,44.4,54.1,5.68,59.5,3.12,66.1,2.88,6.668228248417403
Cameroon,108.0,22.2,5.13,27.0,1.91,57.3,5.11,7.1785454837637
Canada,5.6,29.1,11.3,31.0,2.87,81.3,1.63,10.766398604507042
Cape Verde,26.5,32.7,4.09,61.8,0.505,72.5,2.67,8.105005537547246
Central African Republic,149.0,11.8,3.98,26.5,2.01,47.5,5.21,6.102558594613569
Chad,150.0,36.8,4.53,43.5,6.39,56.5,6.59,6.8001700683022
Chile,8.7,37.7,7.96,31.3,8.96,79.1,1.88,9.465060106725137
China,15.7,26.3,5.07,22.6,6.94,74.6,1.59,8.4252971767117
Colombia,18.6,15.9,7.59,17.8,3.86,76.4,2.01,8.740496729931813
Comoros,88.2,16.5,4.51,51.7,3.87,65.9,4.75,6.646390514847729
"Congo, Dem. Rep.",116.0,41.1,7.91,49.6,20.8,57.5,6.54,5.814130531825066
"Congo, Rep.",63.9,85.1,2.46,54.7,20.7,60.4,4.95,7.916078096302786
Costa Rica,10.2,33.2,10.9,35.0,6.57,80.4,1.92,9.012011377036412
Cote d'Ivoire,111.0,50.6,5.3,43.3,5.39,56.3,5.27,7.107425474110705
Croatia,5.5,37.6,7.76,38.1,0.821,76.3,1.55,9.510519035757246
Cyprus,3.6,50.2,5.97,57.5,2.01,79.9,1.42,10.335302435967074
Czech Republic,3.4,66.0,7.88,62.9,-1.43,77.5,1.51,9.893487720457795
Denmark,4.1,50.5,11.4,43.6,3.22,79.5,1.87,10.968215530759236
Dominican Republic,34.4,22.7,6.22,33.3,5.44,74.6,2.6,8.603554357064281
Ecuador,25.1,27.9,8.06,32.4,7.47,76.7,2.66,8.446985296372741
Egypt,29.1,21.3,4.66,26.6,10.1,70.5,3.19,7.8636512654486515
El Salvador,19.2,26.9,6.91,46.6,2.65,74.1,2.27,8.003363058629947
